ACCIDENT_ID,LOCATE_ID_DISTRICT,ACCIDENT_MONTH,ACCIDENT_YEAR,ACCIDENT_COST,HUMAN_ADMIT,HUMAN_DEAD,ROADTYPE_ID,ROADSKIN_ID,ACDPOINT_ID,ATMOSPHERE_ID,LIGHT_ID,GIS_E,GIS_N,GIS_LAT,GIS_LNG,PERSON_GENDER,PERSON_AGE,PERSON_STATE,LOCATE_PROVINCE,LOCATE_DOMICILE,ACCIDENT_VEHICLE
17766,100949,4,5,0,0,0,City road (municipality),Wet,Straight way,Bright,Day,608809,1860667,16.82672152,100.0212464,Male,30,Injured,1071,1071,motorcycle
17767,100949,4,5,0,0,0,City road (municipality),Dry,Straight way,Bright,Day,634911,1860137,16.82056834,100.2661603,Male,30,Died later,1071,1071,motorcycle
17834,100953,1,6,0,0,0,Not specified,Dry,Straight way,Bright,Day,654391,1837936,16.61873308,100.4474292,Female,37,Injured,1071,1071,motorcycle
17835,100949,1,6,0,0,0,City road (municipality),Dry,Straight way,Bright,Day,653543,1862193,16.83799677,100.4411273,Male,35,Died later,1071,1071,motorcycle
17857,100958,4,6,60000,0,0,Highways Road,Dry,Straight way,Bright,Day,619812,1890194,17.09304246,100.126092,Female,42,Injured,1071,0,pick up
17858,100949,4,6,1500,0,0,City road (municipality),Dry,Straight way,Bright,Day,670371,1864439,16.85712309,100.5992,Female,18,Injured,1071,1071,pick up
18315,100949,4,6,60000,0,0,Rural Roads,Dry,Straight way,Bright,Day,627734,1899746,17.17894069,100.2010925,Female,50,Injured,1071,1071,motorcycle
19613,100949,12,6,0,0,0,Roads in Village,Dry,Straight way,Bright,Day,654391,1837936,16.61873308,100.4474292,Male,4,Injured,1071,1071,Sedan/Taxi
20009,100951,2,14,2000,1,0,Rural Roads,Dry,Straight way,Bright,Day,664135,1863269,16.84699837,100.5405953,Female,14,Injured,1071,1071,Sedan/Taxi
20336,100958,4,5,0,0,0,City road (municipality),Dry,Straight way,Bright,Day,674449,1872147,16.92647015,100.6380682,Female,40,Injured,1071,1071,pick up
